date,time,tag,detail
"2026-08-21","13:46:33","[ANPR_EVENT]","plate=8119УАР  conf=94%  dir=exit  lot=""Соло""  cam=21"
"2026-08-21","13:46:31","[ANPR_EVENT]","plate=3028УКК  conf=86%  dir=exit  lot=""Хан гарьд""  cam=33"
"2026-08-21","13:46:25","[ANPR_EVENT]","plate=4568УНП  conf=94%  dir=exit  lot=""3-р эмнэлэг""  cam=49"
"2026-08-21","13:46:17","[ANPR_EVENT]","plate=0766УЕТ  conf=90%  dir=exit  lot=""3-р эмнэлэг""  cam=49"
"2026-08-21","13:46:17","[ANPR_EVENT]","plate=0207УЕС  conf=94%  dir=enter  lot=""ҮЦХ-Баруун""  cam=58"
"2026-08-21","13:46:14","[ANPR_EVENT]","plate=5651УЕМ  conf=94%  dir=exit  lot=""ҮЦХ-Зүүн""  cam=85"
"2026-08-21","13:46:11","[ANPR_EVENT]","plate=1204УЕО  conf=94%  dir=exit  lot=""3-р эмнэлэг""  cam=49"
"2026-08-21","13:46:05","[ANPR_EVENT]","plate=8362УКУ  conf=86%  dir=enter  lot=""Барилгачдын талбай""  cam=61"
"2026-08-21","13:45:45","[ANPR_EVENT]","plate=4023ОРН  conf=86%  dir=exit  lot=""Андууд""  cam=11"
"2026-08-21","13:45:36","[ANPR_EVENT]","plate=3594УЕУ  conf=94%  dir=enter  lot=""ҮЦХ-Баруун""  cam=58"
"2026-08-21","13:45:36","[ANPR_EVENT]","plate=5198УАО  conf=90%  dir=exit  lot=""Соло""  cam=21"
"2026-08-21","13:45:29","[ANPR_EVENT]","plate=4480УКУ  conf=90%  dir=enter  lot=""ҮЦХ-Баруун""  cam=58"
"2026-08-21","13:45:26","[ANPR_EVENT]","plate=7201УНТ  conf=98%  dir=exit  lot=""ҮЦХ-Зүүн""  cam=85"
"2026-08-21","13:45:25","[ANPR_EVENT]","plate=6353ТӨН  conf=90%  dir=enter  lot=""Хүрээлэн Маршалл урд""  cam=66"
"2026-08-21","13:45:21","[ANPR_EVENT]","plate=7202УНБ  conf=98%  dir=enter  lot=""ҮЦХ-Баруун""  cam=58"
"2026-08-21","13:45:06","[ANPR_EVENT]","plate=9608УНД  conf=94%  dir=enter  lot=""3-р эмнэлэг""  cam=48"
"2026-08-21","13:44:59","[ANPR_EVENT]","plate=1676УНН  conf=94%  dir=enter  lot=""Соло""  cam=20"
"2026-08-21","13:44:55","[ANPR_EVENT]","plate=6777УЕМ  conf=90%  dir=exit  lot=""Андууд""  cam=11"
"2026-08-21","13:44:55","[ANPR_EVENT]","plate=1390УБМ  conf=94%  dir=enter  lot=""3-р эмнэлэг""  cam=48"
"2026-08-21","13:44:52","[ANPR_EVENT]","plate=4568УНП  conf=78%  dir=enter  lot=""3-р эмнэлэг""  cam=50"
"2026-08-21","13:44:46","[ANPR_EVENT]","plate=4897УБЧ  conf=90%  dir=enter  lot=""ҮЦХ-Баруун""  cam=58"
"2026-08-21","13:44:45","[ANPR_EVENT]","plate=0766УЕТ  conf=90%  dir=enter  lot=""3-р эмнэлэг""  cam=50"
"2026-08-21","13:44:45","[ANPR_EVENT]","plate=5411УАС  conf=94%  dir=enter  lot=""Ялалт""  cam=28"
"2026-08-21","13:44:40","[ANPR_EVENT]","plate=7185УБВ  conf=98%  dir=enter  lot=""3-р эмнэлэг""  cam=48"
"2026-08-21","13:44:37","[ANPR_EVENT]","plate=6183УКО  conf=86%  dir=exit  lot=""3-р эмнэлэг""  cam=49"
"2026-08-21","13:44:27","[ANPR_EVENT]","plate=8766УНЭ  conf=90%  dir=exit  lot=""3-р эмнэлэг""  cam=49"
"2026-08-21","13:44:19","[ANPR_EVENT]","plate=3467УАС  conf=90%  dir=exit  lot=""ҮЦХ-Баруун""  cam=59"
"2026-08-21","13:44:17","[ANPR_EVENT]","plate=3345УБС  conf=94%  dir=exit  lot=""3-р эмнэлэг""  cam=49"
"2026-08-21","13:44:15","[ANPR_EVENT]","plate=0432ЦАУ  conf=94%  dir=exit  lot=""ҮЦХ-Зүүн""  cam=85"
"2026-08-21","13:43:44","[ANPR_EVENT]","plate=9323УНМ  conf=86%  dir=exit  lot=""ҮЦХ-Баруун""  cam=59"
"2026-08-21","13:43:44","[ANPR_EVENT]","plate=8766УНЭ  conf=86%  dir=enter  lot=""3-р эмнэлэг""  cam=50"
"2026-08-21","13:43:34","[ANPR_EVENT]","plate=3345УБС  conf=90%  dir=enter  lot=""3-р эмнэлэг""  cam=50"
"2026-08-21","13:43:23","[ANPR_EVENT]","plate=7388УЕМ  conf=86%  dir=enter  lot=""3-р эмнэлэг""  cam=50"
"2026-08-21","13:43:20","[ANPR_EVENT]","plate=7400УНК  conf=94%  dir=enter  lot=""3-р эмнэлэг""  cam=48"
"2026-08-21","13:43:17","[ANPR_EVENT]","plate=1696УАВ  conf=90%  dir=exit  lot=""Соло""  cam=21"
"2026-08-21","13:43:16","[ANPR_EVENT]","plate=3999УБЯ  conf=94%  dir=exit  lot=""Гэгээнтэн урд""  cam=75"
"2026-08-21","13:43:15","[ANPR_EVENT]","plate=6649УКА  conf=98%  dir=enter  lot=""Гэгээнтэн урд""  cam=74"
"2026-08-21","13:43:14","[ANPR_EVENT]","plate=8429УНМ  conf=94%  dir=exit  lot=""ҮЦХ-Баруун""  cam=59"
"2026-08-21","13:43:13","[ANPR_EVENT]","plate=5428УНО  conf=94%  dir=exit  lot=""ҮЦХ-Баруун""  cam=60"
"2026-08-21","13:43:12","[ANPR_EVENT]","plate=4504УЕС  conf=94%  dir=exit  lot=""ҮЦХ-Зүүн""  cam=85"
"2026-08-21","13:43:11","[ANPR_EVENT]","plate=2310УКР  conf=90%  dir=enter  lot=""Барилгачдын талбай""  cam=61"
"2026-08-21","13:43:06","[ANPR_EVENT]","plate=2786УНХ  conf=94%  dir=enter  lot=""ҮЦХ-Зүүн""  cam=84"
"2026-08-21","13:43:00","[ANPR_EVENT]","plate=9804УБП  conf=94%  dir=enter  lot=""ҮЦХ-Баруун""  cam=58"
"2026-08-21","13:42:56","[ANPR_EVENT]","plate=0629УБХ  conf=94%  dir=enter  lot=""ҮЦХ-Зүүн""  cam=84"
"2026-08-21","13:42:55","[ANPR_EVENT]","plate=9718УНИ  conf=94%  dir=exit  lot=""ҮЦХ-Баруун""  cam=60"
